CustomerID,recency,frequency,monetary,R,F,M,rfm,rfm_segment_name
11109,187.0,7,4659.3966,3,4,4,344,Potential loyal
11110,130.0,4,4456.138199999999,4,3,4,434,Loyal
11111,128.0,7,4544.722400000001,4,4,4,444,Loyal
11112,118.0,5,4693.4396,4,3,4,434,Loyal
11113,251.0,7,161.4442,3,4,1,341,Potential loyal
11114,3.0,7,170.8,5,4,1,541,Loyal
11115,7.0,3,70.46,5,2,1,521,Loyal
11116,74.0,7,158.94,5,4,1,541,Loyal
11117,186.0,6,2500.2784,3,3,3,333,Potential loyal
11118,49.0,7,196.70000000000002,5,4,1,541,Loyal
11119,36.0,3,102.62729999999999,5,2,1,521,Loyal
11121,55.0,6,88.37,5,3,1,531,Loyal
11122,128.0,3,85.86,4,2,1,421,Loyal
11123,255.0,3,83.81,3,2,1,321,Potential loyal
11124,193.0,5,4496.7724,3,3,4,334,Potential loyal
11125,178.0,7,141.8981,3,4,1,341,Potential loyal
11126,56.0,7,1625.64,5,4,3,543,Star
11127,89.0,3,52.96,4,2,1,421,Loyal
11128,138.0,6,129.63150000000002,4,3,1,431,Loyal
11129,353.0,2,5627.3682,2,2,5,225,Hold and improve
11130,20.0,2,37.29,5,2,1,521,Loyal
11131,24.0,6,166.8126,5,3,1,531,Loyal
11132,263.0,6,2189.9782,2,3,3,233,Hold and improve
11133,0.0,0,0.0,5,1,1,511,Loyal
11134,56.0,2,1511.8400000000001,5,2,2,522,Loyal
11135,254.0,3,2101.3796,3,2,3,323,Potential loyal
11136,359.0,3,2156.5582,2,2,3,223,Hold and improve
11137,150.0,3,198.57999999999998,4,2,1,421,Loyal
11138,101.0,2,37.6342,4,2,1,421,Loyal
11139,73.0,2,67.2684,5,2,1,521,Loyal
11140,284.0,2,44.980000000000004,2,2,1,221,Hold and improve
11141,92.0,4,118.60419999999999,4,3,1,431,Loyal
11142,13.0,31,1117.2504,5,5,2,552,Star
11143,10.0,4,62.53,5,3,1,531,Loyal
11144,337.0,3,2152.1555,2,2,3,223,Hold and improve
11145,337.0,3,2079.0582,2,2,3,223,Hold and improve
11146,105.0,7,171.1784,4,4,1,441,Loyal
11147,74.0,6,4615.18,5,3,4,534,Loyal
11148,26.0,6,183.5,5,3,1,531,Loyal
11149,30.0,4,101.8284,5,3,1,531,Loyal
11150,166.0,8,256.9488,3,4,1,341,Potential loyal
11151,70.0,5,4498.9966,5,3,4,534,Loyal
11152,353.0,1,2049.0982,2,1,3,213,Hold and improve
11153,274.0,5,126.03,2,3,1,231,Hold and improve
11154,352.0,1,2071.4196,2,1,3,213,Hold and improve
11155,356.0,1,2071.4196,2,1,3,213,Hold and improve
11156,354.0,4,2144.0781999999995,2,3,3,233,Hold and improve
11157,109.0,3,47.56,4,2,1,421,Loyal
11158,343.0,3,2169.3696,2,2,3,223,Hold and improve
11159,52.0,5,60.42,5,3,1,531,Loyal
11160,310.0,2,2073.7096,2,2,3,223,Hold and improve
11161,48.0,6,116.5642,5,3,1,531,Loyal
11162,313.0,2,2082.7424,2,2,3,223,Hold and improve
11163,145.0,4,62.53,4,3,1,431,Loyal
11164,145.0,6,156.03,4,3,1,431,Loyal
11165,206.0,3,106.48,3,2,1,321,Potential loyal
11166,23.0,5,95.5942,5,3,1,531,Loyal
11167,31.0,4,2880.4382,5,3,3,533,Loyal
11168,43.0,7,2942.8824,5,4,3,543,Star
11169,96.0,5,91.1842,4,3,1,431,Loyal
11170,124.0,3,83.53999999999999,4,2,1,421,Loyal
11171,52.0,8,6534.5882,5,4,5,545,Star
11172,239.0,2,45.6142,3,2,1,321,Potential loyal
11173,5.0,3,106.48,5,2,1,521,Loyal
11174,156.0,5,62.120000000000005,4,3,1,431,Loyal
11175,56.0,8,6536.9096,5,4,5,545,Star
11176,38.0,50,1500.0718,5,5,2,552,Star
11177,76.0,6,142.53,4,3,1,431,Loyal
11178,216.0,6,152.9842,3,3,1,331,Potential loyal
11179,291.0,3,93.93,2,2,1,221,Hold and improve
11180,95.0,6,168.6904,4,3,1,431,Loyal
11181,170.0,3,49.260000000000005,3,2,1,321,Potential loyal
11182,122.0,3,49.56,4,2,1,421,Loyal
11183,198.0,4,57.54,3,3,1,331,Potential loyal
11184,81.0,5,99.21,4,3,1,431,Loyal
11185,40.0,58,1499.7113,5,5,2,552,Star
11186,72.0,1,7.98,5,1,1,511,Loyal
11187,144.0,4,111.47,4,3,1,431,Loyal
11188,58.0,3,79.97,5,2,1,521,Loyal
11190,122.0,2,8.57,4,2,1,421,Loyal
11191,53.0,7,6508.298000000001,5,4,5,545,Star
11192,95.0,5,121.2484,4,3,1,431,Loyal
11193,132.0,3,47.56,4,2,1,421,Loyal
11194,21.0,6,137.33620000000002,5,3,1,531,Loyal
11195,68.0,6,138.2804,5,3,1,531,Loyal
11196,96.0,4,169.56,4,3,1,431,Loyal
11197,161.0,6,216.13,4,3,1,431,Loyal
11198,318.0,3,115.7404,2,2,1,221,Hold and improve
11199,73.0,6,165.0,5,3,1,531,Loyal
11200,11.0,47,1496.8441,5,5,2,552,Star
11201,111.0,6,203.6415,4,3,1,431,Loyal
11202,99.0,3,72.63419999999999,4,2,1,421,Loyal
11203,18.0,32,1002.0515,5,5,2,552,Star
11205,82.0,2,39.58,4,2,1,421,Loyal
11206,212.0,4,83.2042,3,3,1,331,Potential loyal
11207,72.0,4,88.1942,5,3,1,531,Loyal
11208,103.0,7,158.78,4,4,1,441,Loyal
11209,278.0,1,2.29,2,1,1,211,Hold and improve
11210,114.0,5,104.6362,4,3,1,431,Loyal
11211,28.0,32,947.9645,5,5,2,552,Star
11212,16.0,28,965.2031000000001,5,5,2,552,Star
11213,111.0,4,84.55000000000001,4,3,1,431,Loyal
11214,40.0,4,171.85,5,3,1,531,Loyal
11215,14.0,31,1310.8595,5,5,2,552,Star
11216,326.0,5,5707.3382,2,3,5,235,Hold and improve
11217,317.0,3,5704.6795999999995,2,2,5,225,Hold and improve
11218,303.0,1,4.58,2,1,1,211,Hold and improve
11219,61.0,2,39.58,5,2,1,521,Loyal
11220,16.0,4,67.75,5,3,1,531,Loyal
11221,73.0,4,53.55,5,3,1,531,Loyal
11222,31.0,6,223.89260000000002,5,3,1,531,Loyal
11223,17.0,54,1615.6584,5,5,3,553,Star
11224,26.0,5,6438.3524,5,3,5,535,Loyal
11226,272.0,2,39.58,2,2,1,221,Hold and improve
11227,321.0,5,5701.2882,2,3,5,235,Hold and improve
11228,65.0,1,4.58,5,1,1,511,Loyal
11229,154.0,3,49.56,4,2,1,421,Loyal
11230,20.0,5,72.77,5,3,1,531,Loyal
11231,47.0,4,88.53,5,3,1,531,Loyal
11232,46.0,3,41.87,5,2,1,521,Loyal
11233,203.0,6,176.3246,3,3,1,331,Potential loyal
11234,101.0,4,81.2042,4,3,1,431,Loyal
11235,177.0,1,33.6442,3,1,1,311,Potential loyal
11236,87.0,3,78.6242,4,2,1,421,Loyal
11237,34.0,6,10065.0121,5,3,5,535,Loyal
11238,242.0,8,3908.8307999999997,3,4,4,344,Potential loyal
11239,214.0,10,3940.3707999999997,3,4,4,344,Potential loyal
11240,229.0,12,4011.8599999999997,3,4,4,344,Potential loyal
11241,61.0,23,11267.815200000001,5,4,5,545,Star
11242,25.0,12,10852.034000000001,5,4,5,545,Star
11243,202.0,11,3535.9924,3,4,4,344,Potential loyal
11244,162.0,11,3594.9480000000003,4,4,4,444,Loyal
11245,18.0,7,7964.3796,5,4,5,545,Star
11247,133.0,10,3525.6539000000002,4,4,4,444,Loyal
11248,167.0,3,75.0562,3,2,1,321,Potential loyal
11249,105.0,11,9668.0239,4,4,5,445,Loyal
11250,144.0,9,3497.7528,4,4,4,444,Loyal
11251,72.0,3,2076.3666,5,2,3,523,Loyal
11252,11.0,7,6481.248,5,4,5,545,Star
11253,26.0,28,862.9018,5,5,2,552,Star
11254,15.0,9,264.5623,5,4,1,541,Loyal
11255,272.0,5,117.60419999999999,2,3,1,231,Hold and improve
11256,74.0,5,98.4642,5,3,1,531,Loyal
11257,15.0,4,5669.2282,5,3,5,535,Loyal
11258,166.0,3,58.88,3,2,1,321,Potential loyal
11259,9.0,5,6523.3624,5,3,5,535,Loyal
11260,188.0,5,91.1842,3,3,1,331,Potential loyal
11261,6.0,4,6403.3624,5,3,5,535,Loyal
11262,13.0,58,1456.8073,5,5,2,552,Star
11263,19.0,9,6522.1719,5,4,5,545,Star
11264,29.0,8,2971.8012,5,4,3,543,Star
11265,359.0,3,2104.7224,2,2,3,223,Hold and improve
11266,342.0,5,5696.938,2,3,5,235,Hold and improve
11267,355.0,5,5717.3081999999995,2,3,5,235,Hold and improve
11268,43.0,5,125.1642,5,3,1,531,Loyal
11269,110.0,3,51.85,4,2,1,421,Loyal
11270,355.0,5,5758.962399999999,2,3,5,235,Hold and improve
11271,340.0,5,5729.6596,2,3,5,235,Hold and improve
11272,349.0,4,5748.6396,2,3,5,235,Hold and improve
11273,219.0,7,296.1442,3,4,1,341,Potential loyal
11274,307.0,4,5647.3382,2,3,5,235,Hold and improve
11275,350.0,4,5749.2738,2,3,5,235,Hold and improve
11276,5.0,47,1106.6456,5,5,2,552,Star
11277,36.0,53,1666.1514,5,5,3,553,Star
11278,359.0,3,5661.0124,2,2,5,225,Hold and improve
11279,189.0,4,56.43,3,3,1,331,Potential loyal
11280,142.0,4,77.27000000000001,4,3,1,431,Loyal
11281,351.0,5,5695.5496,2,3,5,235,Hold and improve
11282,360.0,6,5779.8081999999995,2,3,5,235,Hold and improve
11283,122.0,4,51.44,4,3,1,431,Loyal
11284,240.0,5,68.00999999999999,3,3,1,331,Potential loyal
11285,64.0,5,162.01,5,3,1,531,Loyal
11286,342.0,5,5736.6839,2,3,5,235,Hold and improve
11287,27.0,54,1442.9618,5,5,2,552,Star
11288,129.0,4,79.56,4,3,1,431,Loyal
11289,346.0,5,5713.7882,2,3,5,235,Hold and improve
11290,335.0,3,5684.6795999999995,2,2,5,225,Hold and improve
11291,343.0,2,5627.3682,2,2,5,225,Hold and improve
11292,362.0,5,5733.2582,2,3,5,235,Hold and improve
11293,288.0,5,99.1042,2,3,1,231,Hold and improve
11294,95.0,1,4.58,4,1,1,411,Loyal
11295,353.0,5,5814.6696,2,3,5,235,Hold and improve
11296,333.0,4,5678.1982,2,3,5,235,Hold and improve
11297,311.0,5,5705.9924,2,3,5,235,Hold and improve
11298,310.0,4,3630.5084,2,3,4,234,Hold and improve
11299,307.0,4,5791.3282,2,3,5,235,Hold and improve
11300,10.0,62,1774.0395,5,5,3,553,Star
11301,79.0,4,103.55000000000001,4,3,1,431,Loyal
11302,329.0,5,5722.2282,2,3,5,235,Hold and improve
11303,308.0,3,5631.9482,2,2,5,225,Hold and improve
11304,250.0,5,154.43,3,3,1,331,Potential loyal
11305,146.0,4,80.9142,4,3,1,431,Loyal
11306,113.0,3,47.269999999999996,4,2,1,421,Loyal
11307,323.0,5,5755.6096,2,3,5,235,Hold and improve
11308,113.0,3,113.95,4,2,1,421,Loyal
11309,172.0,2,44.980000000000004,3,2,1,321,Potential loyal
11310,5.0,4,84.55000000000001,5,3,1,531,Loyal
11311,107.0,4,83.2042,4,3,1,431,Loyal
11312,209.0,3,49.56,3,2,1,321,Potential loyal
11313,33.0,4,59.13,5,3,1,531,Loyal
11315,12.0,3,44.57,5,2,1,521,Loyal
11316,350.0,2,2104.0881999999997,2,2,3,223,Hold and improve
11317,313.0,2,5627.3682,2,2,5,225,Hold and improve
11318,51.0,4,56.43,5,3,1,531,Loyal
11319,307.0,4,5704.9724,2,3,5,235,Hold and improve
11320,131.0,5,109.42,4,3,1,431,Loyal
11321,214.0,2,39.58,3,2,1,321,Potential loyal
11322,221.0,4,51.85,3,3,1,331,Potential loyal
11323,332.0,5,5800.9282,2,3,5,235,Hold and improve
11324,326.0,4,5719.3955000000005,2,3,5,235,Hold and improve
11325,331.0,7,5859.5596000000005,2,4,5,245,Hold and improve
11326,311.0,5,5707.3382,2,3,5,235,Hold and improve
11327,330.0,4,5666.9482,2,3,5,235,Hold and improve
11328,265.0,4,4483.4496,2,3,4,234,Hold and improve
11329,321.0,2,5649.6896,2,2,5,225,Hold and improve
11330,15.0,55,1570.6801,5,5,2,552,Star
11331,26.0,55,1731.5952,5,5,3,553,Star
11332,356.0,3,5505.0538,2,2,5,225,Hold and improve
11333,167.0,5,4537.6738000000005,3,3,4,334,Potential loyal
11334,154.0,5,4519.093800000001,4,3,4,434,Loyal
11335,358.0,4,5519.9496,2,3,5,235,Hold and improve
11336,357.0,4,2145.0138,2,3,3,233,Hold and improve
11337,162.0,7,4552.4196,4,4,4,444,Loyal
11338,363.0,5,5511.3596,2,3,5,235,Hold and improve
11339,337.0,3,4133.1864,2,2,4,224,Hold and improve
11340,360.0,5,4182.1464,2,3,4,234,Hold and improve
11341,162.0,7,4606.0508,4,4,4,444,Loyal
11342,169.0,3,61.604200000000006,3,2,1,321,Potential loyal
11343,157.0,8,4595.1181,4,4,4,444,Loyal
11344,158.0,6,4512.8044,4,3,4,434,Loyal
11345,362.0,3,4155.5178,2,2,4,224,Hold and improve
11346,320.0,7,4265.1893,2,4,4,244,Hold and improve
11347,287.0,2,36.95,2,2,1,221,Hold and improve
11348,272.0,3,72.96000000000001,2,2,1,221,Hold and improve
11349,0.0,0,0.0,5,1,1,511,Loyal
11350,326.0,3,98.60430000000001,2,2,1,221,Hold and improve
11351,122.0,4,4470.1182,4,3,4,434,Loyal
11352,241.0,2,27.96,3,2,1,321,Potential loyal
11353,142.0,5,4481.108200000001,4,3,4,434,Loyal
11354,26.0,2,26.278399999999998,5,2,1,521,Loyal
11355,94.0,2,27.96,4,2,1,421,Loyal
11356,59.0,7,1713.27,5,4,3,543,Star
11357,61.0,4,1590.79,5,3,3,533,Loyal
11358,45.0,7,1690.7126,5,4,3,543,Star
11359,25.0,6,1602.3200000000002,5,3,3,533,Loyal
11360,7.0,5,1632.7626,5,3,3,533,Loyal
11361,35.0,4,141.67149999999998,5,3,1,531,Loyal
11362,96.0,3,129.90730000000002,4,2,1,421,Loyal
11363,121.0,3,893.47,4,2,2,422,Loyal
11365,7.0,6,1654.79,5,3,3,533,Loyal
11366,135.0,3,102.62729999999999,4,2,1,421,Loyal
11367,34.0,4,120.6073,5,3,1,531,Loyal
11368,28.0,10,1842.8735000000001,5,4,3,543,Star
11369,2.0,4,150.32569999999998,5,3,1,531,Loyal
11370,89.0,3,108.0273,4,2,1,421,Loyal
11371,1.0,2,98.0473,5,2,1,521,Loyal
11372,15.0,4,1599.81,5,3,3,533,Loyal
11373,123.0,3,98.6043,4,2,1,421,Loyal
11374,257.0,3,102.95,2,2,1,221,Hold and improve
11375,73.0,2,36.95,5,2,1,521,Loyal
11376,75.0,1,53.99,4,1,1,411,Loyal
11377,303.0,3,116.0273,2,2,1,221,Hold and improve
11378,317.0,4,4196.463400000001,2,3,4,234,Hold and improve
11379,305.0,4,4220.102,2,3,4,234,Hold and improve
11380,328.0,6,5622.8982,2,3,5,235,Hold and improve
11381,132.0,4,4555.0738,4,3,4,434,Loyal
11382,315.0,2,4098.1964,2,2,4,224,Hold and improve
11384,148.0,3,70.5942,4,2,1,421,Loyal
11385,175.0,2,27.96,3,2,1,321,Potential loyal
11387,271.0,6,6719.2196,2,3,5,235,Hold and improve
11388,246.0,7,6761.1096,3,4,5,345,Potential loyal
11389,42.0,3,102.95,5,2,1,521,Loyal
11390,52.0,3,57.6042,5,2,1,521,Loyal
11391,64.0,2,67.96,5,2,1,521,Loyal
11392,274.0,1,57.98,2,1,1,211,Hold and improve
11393,165.0,2,27.96,3,2,1,321,Potential loyal
11394,148.0,7,7936.3296,4,4,5,445,Loyal
11395,311.0,3,5491.3896,2,2,5,225,Hold and improve
11396,64.0,1,57.98,5,1,1,511,Loyal
11397,174.0,3,46.518100000000004,3,2,1,321,Potential loyal
11398,148.0,4,7866.8024000000005,4,3,5,435,Loyal
11399,259.0,2,32.95,2,2,1,221,Hold and improve
11400,162.0,8,6756.532299999999,4,4,5,445,Loyal
11401,295.0,6,4796.2382,2,3,4,234,Hold and improve
11402,270.0,10,4841.6818,2,4,4,244,Hold and improve
11403,214.0,9,4826.6376,3,4,4,344,Potential loyal
11404,321.0,2,67.96,2,2,1,221,Hold and improve
11405,272.0,1,53.99,2,1,1,211,Hold and improve
11406,322.0,6,4211.7262,2,3,4,234,Hold and improve
11407,188.0,1,53.99,3,1,1,311,Potential loyal
11408,298.0,3,68.2484,2,2,1,221,Hold and improve
11409,334.0,5,4200.4878,2,3,4,234,Hold and improve
11410,327.0,5,4216.253699999999,2,3,4,234,Hold and improve
11411,146.0,3,60.4981,4,2,1,421,Loyal
11412,79.0,11,9706.9134,4,4,5,445,Loyal
11413,115.0,11,7020.457899999999,4,4,5,445,Loyal
11414,105.0,10,6962.998,4,4,5,445,Loyal
11415,134.0,1,9.98,4,1,1,411,Loyal
11416,237.0,5,4689.8106,3,3,4,334,Potential loyal
11417,14.0,17,11085.7504,5,4,5,545,Star
11418,12.0,2,38.6342,5,2,1,521,Loyal
11419,184.0,6,244.3842,3,3,1,331,Potential loyal
11420,30.0,16,8950.9806,5,4,5,545,Star
11421,81.0,4,9534.1482,4,3,5,435,Loyal
11422,56.0,10,6874.2708,5,4,5,545,Star
11423,70.0,9,7332.9208,5,4,5,545,Star
11424,251.0,2,50.932599999999994,3,2,1,321,Potential loyal
11425,8.0,14,10357.7862,5,4,5,545,Star
11426,263.0,1,34.99,2,1,1,211,Hold and improve
11427,70.0,9,9717.6506,5,4,5,545,Star
11428,68.0,11,9741.6222,5,4,5,545,Star
11429,5.0,16,10279.7062,5,4,5,545,Star
11430,284.0,2,81.7115,2,2,1,221,Hold and improve
11431,90.0,11,9687.366600000001,4,4,5,445,Loyal
11432,4.0,15,9170.9449,5,4,5,545,Star
11433,106.0,12,12407.9545,4,4,5,445,Loyal
11434,166.0,4,105.93,3,3,1,331,Potential loyal
11435,0.0,0,0.0,5,1,1,511,Loyal
11436,192.0,4,109.53,3,3,1,331,Potential loyal
11437,10.0,1,53.99,5,1,1,511,Loyal
11438,326.0,1,33.6442,2,1,1,211,Hold and improve
11439,70.0,12,9823.860400000001,5,4,5,545,Star
11440,276.0,2,101.0862,2,2,1,221,Hold and improve
11441,0.0,0,0.0,5,1,1,511,Loyal
11442,91.0,1,33.6442,4,1,1,411,Loyal
11443,89.0,6,4590.7924,4,3,4,434,Loyal
11444,209.0,4,4533.093800000001,3,3,4,334,Potential loyal
11445,183.0,4,4471.1282,3,3,4,334,Potential loyal
11446,190.0,6,4602.7006,3,3,4,334,Potential loyal
11447,211.0,5,4490.4066,3,3,4,334,Potential loyal
11448,190.0,6,4534.4066,3,3,4,334,Potential loyal
11449,187.0,6,4524.628000000001,3,3,4,334,Potential loyal
11450,194.0,8,4572.5738,3,4,4,344,Potential loyal
11451,206.0,9,8044.2024,3,4,5,345,Potential loyal
11452,199.0,5,7945.446599999999,3,3,5,335,Potential loyal
11453,192.0,6,7935.0138,3,3,5,335,Potential loyal
11454,193.0,4,7841.8024000000005,3,3,5,335,Potential loyal
11455,211.0,5,7901.758,3,3,5,335,Potential loyal
11456,211.0,11,8063.758599999999,3,4,5,345,Potential loyal
11457,210.0,10,7982.6936,3,4,5,345,Potential loyal
11458,156.0,4,68.1384,4,3,1,431,Loyal
11459,193.0,5,7891.4138,3,3,5,335,Potential loyal
11460,201.0,6,7953.2044000000005,3,3,5,335,Potential loyal
11461,160.0,4,7841.8024000000005,4,3,5,435,Loyal
11462,156.0,5,7870.0496,4,3,5,435,Loyal
11463,16.0,4,70.85,5,3,1,531,Loyal
11464,180.0,7,7920.2044,3,4,5,345,Potential loyal
11465,168.0,4,7909.4696,3,3,5,335,Potential loyal
11466,129.0,7,145.39,4,4,1,441,Loyal
11467,70.0,4,103.78999999999999,5,3,1,531,Loyal
11468,129.0,4,6709.3269,4,3,5,435,Loyal
11469,141.0,2,54.949999999999996,4,2,1,421,Loyal
11470,310.0,2,4098.1964,2,2,4,224,Hold and improve
11471,225.0,1,53.99,3,1,1,311,Potential loyal
11472,64.0,6,7940.8,5,3,5,535,Loyal
11473,209.0,2,79.9226,3,2,1,321,Potential loyal
11474,94.0,3,98.0562,4,2,1,421,Loyal
11475,249.0,4,67.7684,3,3,1,331,Potential loyal
11476,58.0,1,53.99,5,1,1,511,Loyal
11477,95.0,1,34.99,4,1,1,411,Loyal
11478,253.0,1,53.99,3,1,1,311,Potential loyal
11479,218.0,9,4751.6378,3,4,4,344,Potential loyal
11480,156.0,7,4718.4278,4,4,4,444,Loyal
11481,251.0,6,4743.4578,3,3,4,334,Potential loyal
11482,110.0,5,7922.103800000001,4,3,5,435,Loyal
11483,162.0,4,4717.8192,4,3,4,434,Loyal
11484,273.0,6,4756.121999999999,2,3,4,234,Hold and improve
11485,108.0,7,6813.363799999999,4,4,5,445,Loyal
11486,35.0,1,33.6442,5,1,1,511,Loyal
11487,14.0,1,53.99,5,1,1,511,Loyal
11488,121.0,5,7850.058,4,3,5,435,Loyal
11489,92.0,6,7914.8442,4,3,5,435,Loyal
11490,268.0,1,53.99,2,1,1,211,Hold and improve
11491,113.0,7,7952.0638,4,4,5,445,Loyal
11492,312.0,3,4154.162,2,2,4,224,Hold and improve
11493,108.0,6,6725.5424,4,3,5,435,Loyal
11495,64.0,2,18.97,5,2,1,521,Loyal
11496,54.0,7,6784.2639,5,4,5,545,Star
11497,55.0,1,34.99,5,1,1,511,Loyal
